event_id,session_id,event_type,event_timestamp
E000000001,S00000001,pdp_view,20-10-2023 11:44
E000000002,S00000007,pdp_view,15-06-2024 17:51
E000000003,S00000008,pdp_view,01-02-2024 13:10
E000000004,S00000008,add_to_cart,01-02-2024 13:12
E000000005,S00000009,pdp_view,22-01-2023 12:32
E000000006,S00000011,pdp_view,19-02-2023 10:05
E000000007,S00000011,add_to_cart,19-02-2023 10:07
E000000008,S00000011,checkout_start,19-02-2023 10:08
E000000009,S00000012,pdp_view,09-01-2023 02:38
E000000010,S00000013,pdp_view,26-05-2023 13:51
E000000011,S00000014,pdp_view,26-08-2023 14:11
E000000012,S00000015,pdp_view,07-01-2024 20:06
E000000013,S00000016,pdp_view,10-12-2023 10:19
E000000014,S00000017,pdp_view,27-06-2023 23:13
E000000015,S00000017,add_to_cart,27-06-2023 23:16
E000000016,S00000018,pdp_view,28-03-2023 12:37
E000000017,S00000018,add_to_cart,28-03-2023 12:39
E000000018,S00000018,checkout_start,28-03-2023 12:42
E000000019,S00000018,payment_initiated,28-03-2023 12:46
E000000020,S00000018,order_placed,28-03-2023 12:46
E000000021,S00000019,pdp_view,30-04-2024 23:29
E000000022,S00000021,pdp_view,23-06-2023 20:51
E000000023,S00000022,pdp_view,16-07-2023 20:22
E000000024,S00000022,add_to_cart,16-07-2023 20:23
E000000025,S00000022,checkout_start,16-07-2023 20:25
E000000026,S00000022,payment_initiated,16-07-2023 20:28
E000000027,S00000022,order_placed,16-07-2023 20:28
E000000028,S00000023,pdp_view,04-02-2023 19:04
E000000029,S00000023,add_to_cart,04-02-2023 19:05
E000000030,S00000023,checkout_start,04-02-2023 19:06
E000000031,S00000023,payment_initiated,04-02-2023 19:09
E000000032,S00000026,pdp_view,30-10-2023 12:25
E000000033,S00000029,pdp_view,08-04-2023 12:11
E000000034,S00000031,pdp_view,07-02-2023 05:41
E000000035,S00000032,pdp_view,01-02-2024 11:36
E000000036,S00000033,pdp_view,10-02-2023 01:11
E000000037,S00000034,pdp_view,24-09-2023 03:55
E000000038,S00000035,pdp_view,16-07-2023 02:36
E000000039,S00000035,add_to_cart,16-07-2023 02:41
E000000040,S00000037,pdp_view,21-03-2024 10:01
E000000041,S00000038,pdp_view,01-09-2023 20:26
E000000042,S00000038,add_to_cart,01-09-2023 20:28
E000000043,S00000038,checkout_start,01-09-2023 20:28
E000000044,S00000038,payment_initiated,01-09-2023 20:30
E000000045,S00000038,order_placed,01-09-2023 20:30
E000000046,S00000039,pdp_view,21-10-2023 23:32
E000000047,S00000040,pdp_view,25-01-2024 07:10
E000000048,S00000041,pdp_view,25-05-2023 05:36
E000000049,S00000043,pdp_view,05-06-2024 06:48
E000000050,S00000044,pdp_view,23-07-2023 04:37
E000000051,S00000044,add_to_cart,23-07-2023 04:42
E000000052,S00000044,checkout_start,23-07-2023 04:43
E000000053,S00000045,pdp_view,25-04-2023 02:27
E000000054,S00000046,pdp_view,06-05-2023 15:44
E000000055,S00000047,pdp_view,02-01-2023 12:52
E000000056,S00000047,add_to_cart,02-01-2023 12:53
E000000057,S00000048,pdp_view,01-06-2023 05:56
E000000058,S00000049,pdp_view,29-11-2023 12:27
E000000059,S00000051,pdp_view,06-06-2024 17:04
E000000060,S00000055,pdp_view,18-10-2023 08:25
E000000061,S00000056,pdp_view,05-09-2023 05:39
E000000062,S00000057,pdp_view,04-04-2024 04:09
E000000063,S00000058,pdp_view,26-03-2023 15:00
E000000064,S00000059,pdp_view,09-06-2023 14:05
E000000065,S00000062,pdp_view,02-07-2023 10:40
E000000066,S00000065,pdp_view,23-11-2023 00:32
E000000067,S00000065,add_to_cart,23-11-2023 00:35
E000000068,S00000065,checkout_start,23-11-2023 00:35
E000000069,S00000065,payment_initiated,23-11-2023 00:37
E000000070,S00000065,order_placed,23-11-2023 00:37
E000000071,S00000066,pdp_view,12-03-2024 09:27
E000000072,S00000066,add_to_cart,12-03-2024 09:31
E000000073,S00000067,pdp_view,16-02-2023 17:53
E000000074,S00000067,add_to_cart,16-02-2023 17:55
E000000075,S00000067,checkout_start,16-02-2023 17:56
E000000076,S00000067,payment_initiated,16-02-2023 17:56
E000000077,S00000067,order_placed,16-02-2023 17:57
E000000078,S00000068,pdp_view,29-05-2024 23:25
E000000079,S00000068,add_to_cart,29-05-2024 23:28
E000000080,S00000068,checkout_start,29-05-2024 23:28
E000000081,S00000068,payment_initiated,29-05-2024 23:31
E000000082,S00000068,order_placed,29-05-2024 23:32
E000000083,S00000069,pdp_view,20-12-2023 11:28
E000000084,S00000070,pdp_view,30-11-2023 17:54
E000000085,S00000071,pdp_view,05-12-2023 06:44
E000000086,S00000074,pdp_view,13-12-2023 05:47
E000000087,S00000075,pdp_view,06-11-2023 01:56
E000000088,S00000076,pdp_view,20-05-2023 00:10
E000000089,S00000077,pdp_view,19-05-2023 10:35
E000000090,S00000079,pdp_view,04-04-2024 19:20
E000000091,S00000080,pdp_view,17-01-2023 14:07
E000000092,S00000081,pdp_view,30-10-2023 04:04
E000000093,S00000082,pdp_view,18-01-2024 17:29
E000000094,S00000084,pdp_view,26-01-2023 08:33
E000000095,S00000086,pdp_view,02-10-2023 07:17
E000000096,S00000086,add_to_cart,02-10-2023 07:20
E000000097,S00000087,pdp_view,18-04-2023 02:01
E000000098,S00000088,pdp_view,01-07-2023 04:36
E000000099,S00000088,add_to_cart,01-07-2023 04:39
E000000100,S00000088,checkout_start,01-07-2023 04:41
E000000101,S00000088,payment_initiated,01-07-2023 04:43
E000000102,S00000088,order_placed,01-07-2023 04:43
E000000103,S00000089,pdp_view,14-11-2023 03:53
E000000104,S00000089,add_to_cart,14-11-2023 03:56
E000000105,S00000090,pdp_view,25-03-2024 04:00
E000000106,S00000091,pdp_view,11-05-2023 21:46
E000000107,S00000091,add_to_cart,11-05-2023 21:46
E000000108,S00000091,checkout_start,11-05-2023 21:49
E000000109,S00000091,payment_initiated,11-05-2023 21:51
E000000110,S00000091,order_placed,11-05-2023 21:52
E000000111,S00000092,pdp_view,27-01-2023 11:23
E000000112,S00000093,pdp_view,25-05-2023 17:32
E000000113,S00000094,pdp_view,27-08-2023 16:58
E000000114,S00000095,pdp_view,26-11-2023 01:56
E000000115,S00000095,add_to_cart,26-11-2023 01:58
E000000116,S00000095,checkout_start,26-11-2023 02:00
E000000117,S00000095,payment_initiated,26-11-2023 02:01
E000000118,S00000095,order_placed,26-11-2023 02:01
E000000119,S00000096,pdp_view,09-10-2023 19:40
E000000120,S00000096,add_to_cart,09-10-2023 19:43
E000000121,S00000096,checkout_start,09-10-2023 19:44
E000000122,S00000098,pdp_view,15-07-2023 10:32
E000000123,S00000099,pdp_view,18-05-2023 23:02
E000000124,S00000099,add_to_cart,18-05-2023 23:04
E000000125,S00000099,checkout_start,18-05-2023 23:07
E000000126,S00000099,payment_initiated,18-05-2023 23:08
E000000127,S00000100,pdp_view,28-02-2023 21:52
E000000128,S00000100,add_to_cart,28-02-2023 21:55
E000000129,S00000100,checkout_start,28-02-2023 21:57
E000000130,S00000103,pdp_view,08-08-2023 05:54
E000000131,S00000103,add_to_cart,08-08-2023 05:57
E000000132,S00000103,checkout_start,08-08-2023 05:58
E000000133,S00000103,payment_initiated,08-08-2023 06:01
E000000134,S00000103,order_placed,08-08-2023 06:01
E000000135,S00000106,pdp_view,19-03-2024 06:28
E000000136,S00000107,pdp_view,15-01-2023 14:44
E000000137,S00000107,add_to_cart,15-01-2023 14:47
E000000138,S00000108,pdp_view,08-01-2023 17:06
E000000139,S00000108,add_to_cart,08-01-2023 17:11
E000000140,S00000109,pdp_view,03-02-2023 22:26
E000000141,S00000111,pdp_view,15-06-2024 22:20
E000000142,S00000112,pdp_view,02-05-2023 02:59
E000000143,S00000114,pdp_view,19-01-2023 11:34
E000000144,S00000115,pdp_view,23-08-2023 21:30
E000000145,S00000115,add_to_cart,23-08-2023 21:31
E000000146,S00000117,pdp_view,23-05-2024 10:00
E000000147,S00000118,pdp_view,18-09-2023 01:54
E000000148,S00000119,pdp_view,25-08-2023 05:09
E000000149,S00000120,pdp_view,20-07-2023 07:41
E000000150,S00000121,pdp_view,31-12-2023 05:44
E000000151,S00000121,add_to_cart,31-12-2023 05:45
E000000152,S00000121,checkout_start,31-12-2023 05:47
E000000153,S00000122,pdp_view,25-04-2023 19:01
E000000154,S00000124,pdp_view,14-11-2023 17:25
E000000155,S00000124,add_to_cart,14-11-2023 17:28
E000000156,S00000125,pdp_view,08-05-2023 14:28
E000000157,S00000126,pdp_view,28-10-2023 22:11
E000000158,S00000127,pdp_view,25-12-2023 11:23
E000000159,S00000129,pdp_view,17-08-2023 00:48
E000000160,S00000130,pdp_view,17-06-2024 20:51
E000000161,S00000130,add_to_cart,17-06-2024 20:53
E000000162,S00000130,checkout_start,17-06-2024 20:55
E000000163,S00000130,payment_initiated,17-06-2024 20:57
E000000164,S00000130,order_placed,17-06-2024 20:58
E000000165,S00000132,pdp_view,22-08-2023 16:10
E000000166,S00000133,pdp_view,06-04-2023 12:57
E000000167,S00000134,pdp_view,24-01-2023 08:35
E000000168,S00000134,add_to_cart,24-01-2023 08:36
E000000169,S00000134,checkout_start,24-01-2023 08:38
E000000170,S00000134,payment_initiated,24-01-2023 08:42
E000000171,S00000134,order_placed,24-01-2023 08:43
E000000172,S00000135,pdp_view,20-11-2023 08:06
E000000173,S00000136,pdp_view,07-02-2024 14:40
E000000174,S00000137,pdp_view,31-01-2024 03:30
E000000175,S00000137,add_to_cart,31-01-2024 03:31
E000000176,S00000141,pdp_view,02-06-2024 03:40
E000000177,S00000142,pdp_view,17-09-2023 20:01
E000000178,S00000143,pdp_view,08-11-2023 03:30
E000000179,S00000143,add_to_cart,08-11-2023 03:32
E000000180,S00000144,pdp_view,14-12-2023 01:18
E000000181,S00000144,add_to_cart,14-12-2023 01:20
E000000182,S00000145,pdp_view,31-03-2024 23:27
E000000183,S00000145,add_to_cart,31-03-2024 23:28
E000000184,S00000145,checkout_start,31-03-2024 23:30
E000000185,S00000149,pdp_view,06-02-2024 04:21
E000000186,S00000149,add_to_cart,06-02-2024 04:23
E000000187,S00000149,checkout_start,06-02-2024 04:23
E000000188,S00000149,payment_initiated,06-02-2024 04:24
E000000189,S00000149,order_placed,06-02-2024 04:24
E000000190,S00000152,pdp_view,17-06-2023 01:46
E000000191,S00000154,pdp_view,17-08-2023 20:06
E000000192,S00000156,pdp_view,08-01-2024 20:20
E000000193,S00000157,pdp_view,26-04-2023 15:19
E000000194,S00000159,pdp_view,25-07-2023 11:09
E000000195,S00000160,pdp_view,03-06-2024 08:59
E000000196,S00000161,pdp_view,26-06-2024 00:01
E000000197,S00000162,pdp_view,08-02-2023 05:18
E000000198,S00000163,pdp_view,14-06-2024 13:17
E000000199,S00000163,add_to_cart,14-06-2024 13:21
E000000200,S00000163,checkout_start,14-06-2024 13:23
E000000201,S00000163,payment_initiated,14-06-2024 13:27
