order_id,user_id,session_id,order_amount,category,order_timestamp
O00000001,U0074716,S00000018,"? 2,796",fashion,28-03-2023 12:46
O00000002,U0091228,S00000022,"? 3,062",home_decor,16-07-2023 20:28
O00000003,U0091228,S00000038,"? 3,434",fashion,01-09-2023 20:30
O00000004,U0091228,S00000065,"? 2,727",electronics,23-11-2023 00:37
O00000005,U0091228,S00000067,"? 3,586",fashion,16-02-2023 17:57
O00000006,U0091228,S00000068,? 796,electronics,29-05-2024 23:32
O00000007,U0063655,S00000088,"? 2,106",grocery,01-07-2023 04:43
O00000008,U0091228,S00000091,"? 1,773",home_decor,11-05-2023 21:52
O00000009,U0091228,S00000095,"? 4,405",fashion,26-11-2023 02:01
O00000010,U0091228,S00000103,"? 2,730",grocery,08-08-2023 06:01
O00000011,U0091228,S00000130,"? 1,995",grocery,17-06-2024 20:58
O00000012,U0091228,S00000134,"? 4,503",electronics,24-01-2023 08:43
O00000013,U0091228,S00000149,"? 2,163",toys,06-02-2024 04:24
O00000014,U0091228,S00000215,"? 1,539",electronics,08-09-2023 00:29
O00000015,U0091228,S00000240,"? 2,166",electronics,24-05-2024 22:39
O00000016,U0091228,S00000262,"? 1,642",grocery,13-03-2024 10:28
O00000017,U0091228,S00000272,"? 2,308",grocery,20-02-2024 06:04
O00000018,U0091228,S00000320,"? 1,024",fashion,06-06-2023 19:43
O00000019,U0091228,S00000323,"? 3,511",electronics,16-06-2024 22:55
O00000020,U0091228,S00000398,"? 1,239",fashion,04-01-2023 19:10
O00000021,U0091228,S00000405,"? 3,490",fashion,27-12-2023 17:44
O00000022,U0091228,S00000417,"? 3,183",fashion,27-07-2023 17:55
O00000023,U0091228,S00000418,"? 3,220",electronics,02-01-2024 01:09
O00000024,U0007700,S00000440,"? 1,171",fashion,16-02-2024 03:02
O00000025,U0091228,S00000458,"? 2,310",electronics,04-02-2023 17:18
O00000026,U0091228,S00000468,"? 1,855",grocery,19-09-2023 07:48
O00000027,U0091228,S00000472,"? 1,430",electronics,25-01-2024 20:40
O00000028,U0091228,S00000496,"? 1,804",beauty,17-11-2023 19:29
O00000029,U0085469,S00000499,"? 4,043",electronics,31-12-2023 12:18
O00000030,U0026226,S00000523,"? 3,079",grocery,19-01-2023 11:26
O00000031,U0091228,S00000544,"? 3,939",fashion,12-01-2024 08:41
O00000032,U0091228,S00000570,"? 3,647",toys,15-03-2023 14:09
O00000033,U0091228,S00000580,"? 1,602",fashion,05-05-2024 18:23
O00000034,U0091228,S00000597,"? 2,175",electronics,22-05-2024 19:51
O00000035,U0091228,S00000615,"? 2,132",electronics,07-04-2024 03:26
O00000036,U0091228,S00000624,"? 1,491",fashion,31-07-2023 01:42
O00000037,U0091228,S00000626,"? 1,576",home_decor,29-05-2023 19:04
O00000038,U0091228,S00000640,"? 1,564",grocery,23-02-2023 23:21
O00000039,U0091228,S00000644,"? 3,199",electronics,03-09-2023 02:41
O00000040,U0091228,S00000664,"? 2,697",books,13-10-2023 02:23
O00000041,U0091228,S00000668,"? 2,625",fashion,07-02-2023 15:34
O00000042,U0091228,S00000678,"? 3,347",fashion,18-06-2024 07:41
O00000043,U0091228,S00000701,? 808,fashion,03-03-2023 18:06
O00000044,U0091228,S00000704,"? 1,476",electronics,21-02-2023 12:37
O00000045,U0091228,S00000707,? 806,electronics,06-03-2024 12:39
O00000046,U0091228,S00000724,"? 2,302",fashion,28-06-2024 08:00
O00000047,U0091228,S00000742,"? 1,624",electronics,11-01-2024 05:34
O00000048,U0003969,S00000768,"? 3,620",electronics,10-09-2023 11:00
O00000049,U0091228,S00000772,"? 1,701",fashion,17-03-2024 01:40
O00000050,U0039168,S00000842,"? 1,175",fashion,27-06-2024 13:28
O00000051,U0091228,S00000856,"? 2,241",grocery,31-03-2023 18:50
O00000052,U0091228,S00000869,"? 4,000",electronics,10-06-2024 11:50
O00000053,U0091228,S00000889,"? 1,492",electronics,19-02-2023 23:47
O00000054,U0085469,S00000896,"? 1,728",toys,01-06-2024 08:00
O00000055,U0091228,S00000930,"? 2,481",fashion,11-02-2023 17:15
O00000056,U0091228,S00000941,"? 3,262",fashion,12-12-2023 01:49
O00000057,U0091228,S00000951,"? 2,565",beauty,09-12-2023 19:12
O00000058,U0091228,S00000979,"? 4,229",beauty,13-04-2024 04:40
O00000059,U0091228,S00000995,"? 3,442",fashion,12-02-2023 22:38
O00000060,U0091228,S00001001,"? 4,034",electronics,25-05-2024 06:08
O00000061,U0091228,S00001019,"? 4,557",sports,27-04-2023 19:51
O00000062,U0091228,S00001044,"? 4,694",fashion,10-08-2023 12:08
O00000063,U0091228,S00001050,"? 3,888",fashion,02-01-2024 10:15
O00000064,U0091228,S00001068,"? 2,564",fashion,26-03-2023 20:58
O00000065,U0091228,S00001139,"? 1,428",electronics,16-06-2023 21:50
O00000066,U0091228,S00001146,"? 1,091",fashion,25-06-2023 18:41
O00000067,U0091228,S00001170,"? 1,156",electronics,01-08-2023 21:58
O00000068,U0091228,S00001174,"? 4,383",grocery,16-02-2023 19:18
O00000069,U0091228,S00001226,"? 2,725",sports,09-03-2023 03:21
O00000070,U0083154,S00001239,"? 3,178",fashion,12-02-2024 15:17
O00000071,U0091228,S00001246,"? 2,493",toys,12-03-2024 20:50
O00000072,U0091228,S00001280,"? 4,343",grocery,12-10-2023 13:46
O00000073,U0085469,S00001295,? 935,electronics,19-07-2023 22:51
O00000074,U0091228,S00001320,"? 1,022",beauty,06-09-2023 05:24
O00000075,U0091228,S00001322,"? 2,843",fashion,07-01-2024 16:48
O00000076,U0091228,S00001362,"? 1,625",electronics,25-06-2024 20:12
O00000077,U0091228,S00001372,"? 4,008",sports,20-08-2023 15:33
O00000078,U0091228,S00001380,"? 1,276",grocery,02-03-2024 09:20
O00000079,U0091228,S00001394,? 711,books,12-03-2023 15:26
O00000080,U0091228,S00001400,"? 1,599",electronics,06-01-2023 15:03
O00000081,U0091228,S00001405,? 515,beauty,16-09-2023 13:06
O00000082,U0091228,S00001428,"? 2,256",fashion,01-01-2024 20:28
O00000083,U0091228,S00001452,"? 1,277",sports,21-06-2023 15:11
O00000084,U0091228,S00001456,"? 1,434",electronics,15-11-2023 11:56
O00000085,U0091228,S00001459,"? 3,058",beauty,07-06-2023 08:25
O00000086,U0091228,S00001474,"? 1,293",electronics,03-01-2023 07:41
O00000087,U0091228,S00001494,"? 3,268",fashion,22-06-2023 15:39
O00000088,U0091228,S00001509,"? 2,539",books,06-03-2023 03:30
O00000089,U0083154,S00001516,"? 2,037",grocery,11-02-2024 21:19
O00000090,U0091228,S00001559,"? 2,501",home_decor,05-02-2024 03:19
O00000091,U0091228,S00001563,"? 4,602",fashion,29-07-2023 02:19
O00000092,U0091228,S00001611,"? 2,041",books,17-04-2024 08:39
O00000093,U0091228,S00001612,"? 2,520",home_decor,21-06-2024 08:39
O00000094,U0091228,S00001614,"? 3,013",beauty,17-02-2023 12:57
O00000095,U0091228,S00001624,"? 2,013",electronics,04-02-2024 17:14
O00000096,U0091228,S00001659,"? 1,976",fashion,14-05-2023 06:50
O00000097,U0091228,S00001682,"? 3,830",beauty,26-12-2023 10:26
O00000098,U0091228,S00001683,"? 2,179",grocery,10-02-2023 16:22
O00000099,U0091228,S00001711,"? 1,610",fashion,04-12-2023 11:48
O00000100,U0091228,S00001716,"? 2,529",home_decor,07-12-2023 21:51
O00000101,U0091228,S00001767,"? 2,004",toys,14-01-2024 09:54
O00000102,U0091228,S00001768,"? 4,404",grocery,26-03-2023 09:04
O00000103,U0091228,S00001792,"? 1,013",toys,05-10-2023 01:56
O00000104,U0091228,S00001816,"? 1,942",fashion,06-01-2024 20:33
O00000105,U0091228,S00001830,"? 2,638",electronics,20-12-2023 13:32
O00000106,U0091228,S00001838,"? 2,523",grocery,21-10-2023 21:51
O00000107,U0091228,S00001839,? 728,electronics,15-01-2023 21:58
O00000108,U0091228,S00001843,"? 1,491",books,26-10-2023 16:07
O00000109,U0091228,S00001846,"? 1,371",electronics,13-12-2023 21:06
O00000110,U0091228,S00001853,? 969,grocery,02-12-2023 13:41
O00000111,U0091228,S00001860,? 846,grocery,29-01-2024 12:09
O00000112,U0091228,S00001879,"? 1,037",electronics,05-12-2023 09:31
O00000113,U0091228,S00001909,"? 1,895",beauty,29-11-2023 00:02
O00000114,U0091228,S00001919,"? 1,760",fashion,29-10-2023 02:58
O00000115,U0091228,S00001949,"? 2,697",beauty,04-07-2023 20:12
O00000116,U0091228,S00001950,"? 3,042",fashion,15-02-2023 17:24
O00000117,U0085469,S00001953,"? 1,207",electronics,11-01-2023 18:59
O00000118,U0091228,S00001984,"? 3,114",beauty,17-07-2023 21:52
O00000119,U0091228,S00001999,"? 1,938",grocery,19-04-2024 00:31
O00000120,U0091228,S00002007,"? 1,126",electronics,18-08-2023 11:21
O00000121,U0091228,S00002017,"? 3,678",fashion,06-09-2023 20:15
O00000122,U0091228,S00002018,"? 2,067",beauty,26-04-2023 12:44
O00000123,U0091228,S00002029,"? 2,014",sports,15-06-2024 13:16
O00000124,U0091228,S00002064,"? 1,996",toys,01-09-2023 08:18
O00000125,U0091228,S00002079,"? 3,215",toys,13-06-2024 08:48
O00000126,U0091228,S00002095,"? 2,654",fashion,02-02-2024 20:01
O00000127,U0091228,S00002112,"? 1,236",books,24-04-2024 07:02
O00000128,U0091228,S00002139,"? 1,429",electronics,16-12-2023 06:00
O00000129,U0091228,S00002150,"? 4,693",toys,01-12-2023 09:44
O00000130,U0091228,S00002158,"? 4,568",toys,02-11-2023 11:19
O00000131,U0091228,S00002161,"? 1,424",electronics,04-07-2023 20:27
O00000132,U0091228,S00002195,"? 1,154",home_decor,07-08-2023 08:27
O00000133,U0091228,S00002217,"? 4,144",fashion,21-07-2023 19:46
O00000134,U0091228,S00002229,"? 1,514",books,05-11-2023 05:11
O00000135,U0091228,S00002253,"? 3,402",fashion,27-06-2024 14:11
O00000136,U0091228,S00002262,"? 1,804",grocery,28-04-2024 21:57
O00000137,U0091228,S00002297,"? 1,051",grocery,18-10-2023 06:19
O00000138,U0091228,S00002349,"? 3,617",beauty,29-10-2023 09:38
O00000139,U0091228,S00002358,"? 1,986",grocery,22-10-2023 00:28
O00000140,U0091228,S00002365,"? 3,400",beauty,14-03-2024 00:38
O00000141,U0091228,S00002372,"? 1,712",sports,31-03-2024 22:45
O00000142,U0091228,S00002395,"? 1,050",fashion,07-01-2023 13:33
O00000143,U0091228,S00002400,"? 1,704",fashion,04-05-2023 03:37
O00000144,U0091228,S00002401,"? 1,410",fashion,02-10-2023 09:03
O00000145,U0091228,S00002403,"? 2,070",fashion,12-06-2024 00:05
O00000146,U0039168,S00002409,"? 4,559",electronics,18-09-2023 22:35
O00000147,U0091228,S00002420,"? 2,928",sports,14-05-2024 21:26
O00000148,U0091228,S00002425,"? 2,964",grocery,23-03-2024 13:53
O00000149,U0091228,S00002438,"? 1,404",grocery,20-01-2023 21:47
O00000150,U0091228,S00002441,"? 4,697",home_decor,05-01-2024 11:03
O00000151,U0091228,S00002444,"? 2,276",fashion,06-08-2023 15:35
O00000152,U0091228,S00002455,"? 2,257",grocery,26-11-2023 10:43
O00000153,U0091228,S00002467,"? 3,342",electronics,18-05-2024 05:37
O00000154,U0091228,S00002480,"? 3,051",electronics,06-03-2023 04:48
O00000155,U0091228,S00002488,"? 1,209",grocery,22-03-2024 12:10
O00000156,U0091228,S00002494,? 952,books,19-12-2023 20:41
O00000157,U0091228,S00002497,"? 3,814",fashion,02-04-2024 22:57
O00000158,U0091228,S00002527,"? 1,618",electronics,05-05-2023 09:19
O00000159,U0091228,S00002544,"? 2,468",electronics,07-12-2023 21:24
O00000160,U0091228,S00002547,"? 1,885",beauty,02-04-2024 00:21
O00000161,U0091228,S00002551,"? 2,830",electronics,15-01-2024 18:05
O00000162,U0091228,S00002596,"? 1,609",fashion,02-04-2024 04:07
O00000163,U0091228,S00002612,"? 1,653",fashion,25-01-2023 08:09
O00000164,U0091228,S00002625,"? 3,925",home_decor,24-04-2024 15:44
O00000165,U0009946,S00002639,"? 2,090",grocery,30-12-2023 16:41
O00000166,U0091228,S00002642,"? 1,199",grocery,16-05-2024 23:26
O00000167,U0091228,S00002649,? 848,electronics,08-04-2024 20:32
O00000168,U0039168,S00002653,"? 1,520",fashion,17-03-2024 08:05
O00000169,U0091228,S00002667,"? 2,338",electronics,12-11-2023 23:49
O00000170,U0091228,S00002677,"? 1,070",grocery,27-06-2024 22:33
O00000171,U0091228,S00002707,"? 1,859",fashion,07-12-2023 04:33
O00000172,U0091228,S00002734,"? 2,910",fashion,05-04-2024 18:42
O00000173,U0091228,S00002735,"? 1,676",beauty,15-05-2024 12:01
O00000174,U0091228,S00002780,"? 3,916",beauty,25-01-2024 14:29
O00000175,U0091228,S00002781,"? 1,703",electronics,07-12-2023 07:44
O00000176,U0091228,S00002789,"? 1,761",fashion,23-02-2023 22:32
O00000177,U0091228,S00002821,? 935,sports,26-01-2023 17:16
O00000178,U0091228,S00002824,? 839,home_decor,11-10-2023 08:03
O00000179,U0091228,S00002844,"? 1,014",fashion,07-06-2024 08:53
O00000180,U0091228,S00002852,"? 5,000",grocery,27-01-2024 11:42
O00000181,U0091228,S00002884,"? 2,101",books,31-03-2023 18:56
O00000182,U0091228,S00002905,"? 1,472",electronics,08-03-2023 05:15
O00000183,U0091228,S00002930,"? 3,640",electronics,19-06-2023 18:07
O00000184,U0091228,S00002986,"? 2,091",electronics,01-05-2024 11:06
O00000185,U0091228,S00002998,"? 4,136",electronics,26-06-2023 20:27
O00000186,U0091228,S00003042,"? 3,139",grocery,26-08-2023 09:16
O00000187,U0091228,S00003060,"? 1,148",home_decor,21-08-2023 04:22
O00000188,U0091228,S00003082,"? 2,073",beauty,05-05-2023 22:00
O00000189,U0091228,S00003093,"? 2,973",fashion,17-04-2023 20:30
O00000190,U0091228,S00003106,"? 2,659",fashion,15-06-2023 19:37
O00000191,U0034333,S00003110,"? 1,393",grocery,23-02-2024 22:38
O00000192,U0091228,S00003115,"? 1,792",electronics,20-11-2023 10:40
O00000193,U0091228,S00003122,"? 1,073",sports,10-02-2023 19:07
O00000194,U0091228,S00003126,"? 4,486",fashion,27-01-2023 08:54
O00000195,U0091228,S00003128,"? 1,312",electronics,27-02-2024 13:00
O00000196,U0091228,S00003151,"? 1,182",fashion,22-03-2023 09:07
O00000197,U0022056,S00003154,"? 2,135",beauty,15-03-2023 16:00
O00000198,U0039168,S00003172,? 609,electronics,27-08-2023 06:07
O00000199,U0091228,S00003209,"? 2,184",grocery,14-12-2023 01:05
O00000200,U0091228,S00003210,"? 1,374",sports,22-06-2023 23:29
O00000201,U0091228,S00003213,"? 2,863",beauty,27-03-2023 12:35
O00000202,U0091228,S00003227,"? 3,896",fashion,04-11-2023 11:17
O00000203,U0091228,S00003229,"? 4,465",sports,20-02-2024 10:10
O00000204,U0091228,S00003237,"? 3,795",grocery,03-02-2024 19:37
O00000205,U0091228,S00003241,"? 3,450",beauty,24-06-2023 10:52
O00000206,U0091228,S00003253,"? 1,479",grocery,01-11-2023 00:31
O00000207,U0091228,S00003258,"? 1,942",fashion,13-12-2023 23:00
O00000208,U0026974,S00003292,"? 1,165",fashion,29-08-2023 03:09
O00000209,U0091228,S00003310,"? 4,412",sports,24-12-2023 03:25
O00000210,U0091228,S00003319,"? 1,649",electronics,24-06-2024 22:19
O00000211,U0091228,S00003337,"? 2,085",beauty,04-01-2024 08:49
O00000212,U0091228,S00003338,"? 1,758",electronics,20-03-2023 13:07
O00000213,U0091228,S00003354,"? 1,091",electronics,26-04-2023 16:30
O00000214,U0091228,S00003427,"? 2,259",fashion,10-10-2023 21:52
O00000215,U0091228,S00003436,"? 2,044",electronics,15-01-2023 15:15
O00000216,U0091228,S00003443,"? 1,565",grocery,08-08-2023 11:50
O00000217,U0091228,S00003444,"? 3,204",books,25-11-2023 19:36
O00000218,U0091228,S00003479,"? 2,781",electronics,26-04-2024 23:08
O00000219,U0091228,S00003483,"? 1,826",grocery,25-10-2023 22:30
O00000220,U0091228,S00003491,"? 1,091",fashion,15-03-2023 17:07
O00000221,U0091228,S00003521,"? 2,295",beauty,03-02-2023 22:20
O00000222,U0091228,S00003567,"? 4,350",grocery,21-02-2023 12:04
O00000223,U0091228,S00003615,"? 1,888",books,12-05-2024 13:09
O00000224,U0091228,S00003634,"? 1,922",electronics,07-12-2023 03:05
O00000225,U0091228,S00003669,"? 2,235",electronics,23-12-2023 02:46
O00000226,U0091228,S00003695,"? 3,192",electronics,01-12-2023 05:04
O00000227,U0091228,S00003699,"? 1,391",grocery,14-07-2023 20:24
O00000228,U0091228,S00003711,"? 1,629",electronics,01-03-2023 21:32
O00000229,U0091228,S00003738,"? 1,463",grocery,06-01-2024 20:43
O00000230,U0091228,S00003741,"? 2,102",fashion,04-01-2023 16:31
O00000231,U0091228,S00003745,? 986,fashion,04-09-2023 12:55
O00000232,U0084997,S00003753,"? 1,954",fashion,29-04-2024 01:21
O00000233,U0091228,S00003756,"? 2,222",electronics,07-06-2023 15:39
O00000234,U0091228,S00003771,"? 3,780",grocery,13-02-2023 22:45
O00000235,U0091228,S00003799,"? 1,846",electronics,02-05-2023 05:50
O00000236,U0091228,S00003819,"? 1,866",books,29-10-2023 18:22
O00000237,U0091228,S00003826,"? 3,372",grocery,16-02-2023 17:04
O00000238,U0091228,S00003835,"? 1,016",beauty,11-12-2023 02:41
O00000239,U0091228,S00003846,"? 2,410",sports,28-09-2023 22:08
O00000240,U0091228,S00003858,"? 1,644",home_decor,22-03-2023 13:53
O00000241,U0091228,S00003881,"? 2,170",fashion,07-01-2023 05:05
O00000242,U0091228,S00003889,"? 1,923",grocery,22-04-2024 06:34
O00000243,U0091228,S00003890,"? 1,694",fashion,30-10-2023 06:46
O00000244,U0091228,S00003921,"? 1,145",fashion,12-08-2023 04:58
O00000245,U0091228,S00003932,"? 4,057",grocery,08-05-2023 05:33
O00000246,U0091228,S00003975,"? 1,513",home_decor,01-04-2024 03:27
O00000247,U0009744,S00004040,"? 3,281",electronics,20-01-2024 00:45
O00000248,U0050228,S00004046,"? 1,575",grocery,02-01-2023 08:13
O00000249,U0091228,S00004047,"? 2,420",beauty,14-10-2023 16:16
O00000250,U0091228,S00004068,"? 2,580",electronics,26-02-2023 19:07
O00000251,U0091228,S00004074,"? 2,287",toys,27-08-2023 17:47
O00000252,U0091228,S00004082,"? 1,550",grocery,20-10-2023 16:52
O00000253,U0091228,S00004086,"? 1,912",home_decor,10-07-2023 15:15
O00000254,U0091228,S00004096,"? 1,970",grocery,28-04-2024 10:08
O00000255,U0091228,S00004103,"? 3,521",fashion,26-12-2023 21:59
O00000256,U0091228,S00004115,? 774,beauty,24-02-2023 08:08
O00000257,U0091228,S00004146,"? 1,656",fashion,16-01-2023 20:39
O00000258,U0091228,S00004152,"? 2,258",grocery,14-11-2023 12:19
O00000259,U0091228,S00004178,"? 2,571",fashion,13-08-2023 16:02
O00000260,U0091228,S00004191,"? 1,457",home_decor,28-01-2023 04:58
O00000261,U0091228,S00004192,"? 1,925",home_decor,11-11-2023 14:42
O00000262,U0091228,S00004200,"? 1,085",electronics,14-10-2023 10:53
O00000263,U0091228,S00004239,"? 1,174",electronics,06-03-2023 07:13
O00000264,U0091228,S00004257,"? 1,595",sports,26-10-2023 07:19
O00000265,U0091228,S00004266,"? 3,184",beauty,25-01-2023 07:23
O00000266,U0091228,S00004268,"? 1,136",home_decor,29-06-2024 21:40
O00000267,U0091228,S00004279,"? 3,313",toys,24-03-2024 06:01
O00000268,U0091228,S00004289,"? 1,559",electronics,21-09-2023 01:19
O00000269,U0091228,S00004310,"? 2,924",home_decor,26-09-2023 00:01
O00000270,U0091228,S00004321,"? 1,616",electronics,21-07-2023 19:26
O00000271,U0091228,S00004333,"? 4,880",electronics,19-01-2023 14:51
O00000272,U0091228,S00004337,"? 2,930",electronics,05-09-2023 12:19
O00000273,U0091228,S00004360,"? 1,632",grocery,26-11-2023 00:57
O00000274,U0091228,S00004390,"? 1,542",home_decor,15-10-2023 00:10
O00000275,U0091228,S00004394,"? 3,124",grocery,17-05-2023 09:47
O00000276,U0091228,S00004433,"? 3,570",fashion,11-01-2024 19:23
O00000277,U0091228,S00004442,"? 1,209",electronics,23-02-2024 13:47
O00000278,U0091228,S00004443,"? 4,192",electronics,11-04-2024 12:49
O00000279,U0091228,S00004450,"? 2,810",electronics,15-02-2023 04:59
O00000280,U0091228,S00004453,"? 2,186",fashion,24-09-2023 21:04
O00000281,U0091228,S00004489,"? 2,114",grocery,06-12-2023 21:09
O00000282,U0091228,S00004524,"? 3,970",toys,06-07-2023 20:37
