session_id,user_id,device,channel,session_start_timestamp,session_end_timestamp,session_duration_sec
S00000001,U0091228,mobile,paid_ads,20-10-2023 11:43,20-10-2023 11:45,70
S00000002,U0091228,mobile,paid_ads,27-06-2023 16:25,27-06-2023 16:32,374
S00000003,U0091228,tablet,direct,07-10-2023 04:24,07-10-2023 04:26,106
S00000004,U0091228,mobile,direct,17-01-2023 07:13,17-01-2023 07:15,110
S00000005,U0091228,mobile,organic,22-07-2023 06:26,22-07-2023 06:33,425
S00000006,U0091228,desktop,referral,05-07-2023 01:23,05-07-2023 01:30,433
S00000007,U0091228,mobile,organic,15-06-2024 17:50,15-06-2024 17:51,24
S00000008,U0091228,mobile,organic,01-02-2024 13:08,01-02-2024 13:11,182
S00000009,U0091228,desktop,direct,22-01-2023 12:32,22-01-2023 12:39,447
S00000010,U0091228,desktop,referral,17-04-2024 11:57,17-04-2024 12:00,204
S00000011,U0091228,desktop,paid_ads,19-02-2023 10:04,19-02-2023 10:07,173
S00000012,U0091228,mobile,paid_ads,09-01-2023 02:37,09-01-2023 02:40,176
S00000013,U0091228,mobile,direct,26-05-2023 13:51,26-05-2023 13:54,198
S00000014,U0091228,mobile,paid_ads,26-08-2023 14:11,26-08-2023 14:12,72
S00000015,U0027286,mobile,paid_ads,07-01-2024 20:05,07-01-2024 20:07,112
S00000016,U0091228,desktop,paid_ads,10-12-2023 10:17,10-12-2023 10:25,490
S00000017,U0091228,mobile,organic,27-06-2023 23:12,27-06-2023 23:13,92
S00000018,U0074716,desktop,organic,28-03-2023 12:37,28-03-2023 12:40,218
S00000019,U0091228,mobile,direct,30-04-2024 23:27,30-04-2024 23:31,212
S00000020,U0091228,mobile,referral,22-12-2023 12:47,22-12-2023 12:49,106
S00000021,U0091228,mobile,organic,23-06-2023 20:51,23-06-2023 20:53,155
S00000022,U0091228,desktop,organic,16-07-2023 20:20,16-07-2023 20:23,154
S00000023,U0091228,mobile,paid_ads,04-02-2023 19:03,04-02-2023 19:04,43
S00000024,U0018002,desktop,referral,18-05-2023 11:32,18-05-2023 11:39,425
S00000025,U0091228,mobile,organic,05-05-2024 10:48,05-05-2024 10:51,166
S00000026,U0091228,mobile,direct,30-10-2023 12:25,30-10-2023 12:25,36
S00000027,U0089690,desktop,organic,27-12-2023 19:32,27-12-2023 19:33,70
S00000028,U0091228,mobile,paid_ads,22-07-2023 11:58,22-07-2023 12:01,140
S00000029,U0091228,mobile,referral,08-04-2023 12:10,08-04-2023 12:16,370
S00000030,U0091228,mobile,paid_ads,07-03-2023 14:26,07-03-2023 14:26,13
S00000031,U0091228,desktop,organic,07-02-2023 05:40,07-02-2023 05:42,107
S00000032,U0091228,tablet,referral,01-02-2024 11:35,01-02-2024 11:38,196
S00000033,U0091228,mobile,paid_ads,10-02-2023 01:09,10-02-2023 01:14,320
S00000034,U0091228,mobile,paid_ads,24-09-2023 03:55,24-09-2023 04:03,468
S00000035,U0091228,desktop,organic,16-07-2023 02:35,16-07-2023 02:37,103
S00000036,U0091228,tablet,direct,16-11-2023 16:14,16-11-2023 16:21,383
S00000037,U0091228,mobile,organic,21-03-2024 10:01,21-03-2024 10:04,170
S00000038,U0091228,mobile,paid_ads,01-09-2023 20:26,01-09-2023 20:28,169
S00000039,U0000526,mobile,organic,21-10-2023 23:32,21-10-2023 23:39,420
S00000040,U0091228,mobile,paid_ads,25-01-2024 07:09,25-01-2024 07:11,103
S00000041,U0091228,mobile,direct,25-05-2023 05:35,25-05-2023 05:36,39
S00000042,U0091228,mobile,organic,17-09-2023 22:51,17-09-2023 22:55,203
S00000043,U0091228,mobile,referral,05-06-2024 06:48,05-06-2024 06:50,166
S00000044,U0091228,mobile,paid_ads,23-07-2023 04:36,23-07-2023 04:43,409
S00000045,U0009946,tablet,referral,25-04-2023 02:25,25-04-2023 02:27,102
S00000046,U0091228,desktop,organic,06-05-2023 15:44,06-05-2023 15:49,335
S00000047,U0091228,tablet,direct,02-01-2023 12:51,02-01-2023 12:58,422
S00000048,U0074126,mobile,referral,01-06-2023 05:54,01-06-2023 05:57,151
S00000049,U0091228,mobile,paid_ads,29-11-2023 12:26,29-11-2023 12:30,233
S00000050,U0091228,mobile,referral,17-04-2023 01:15,17-04-2023 01:18,199
S00000051,U0091228,desktop,direct,06-06-2024 17:04,06-06-2024 17:12,519
