user_id,city,signup_date
U0000001,Bengaluru,29-07-2022
U0000002,Patna,20-08-2022
U0000003,Ahmedabad,16-10-2022
U0000004,Kolkata,01-09-2022
U0000005,Delhi,12-10-2022
U0000006,Delhi,22-06-2022
U0000007,Mumbai,11-02-2022
U0000008,Nagpur,29-03-2022
U0000009,Kolkata,19-10-2022
U0000010,Ahmedabad,26-08-2022
U0000011,Mumbai,31-12-2022
U0000012,Coimbatore,30-12-2021
U0000013,Lucknow,12-11-2022
U0000014,Delhi,19-09-2022
U0000015,Delhi,03-12-2022
U0000016,Delhi,11-06-2022
U0000017,Bengaluru,13-08-2022
U0000018,Chennai,12-10-2022
U0000019,Hyderabad,17-08-2022
U0000020,Bengaluru,29-11-2022
U0000021,Kolkata,07-04-2022
U0000022,Mumbai,07-11-2022
U0000023,Bengaluru,14-07-2022
U0000024,Bengaluru,14-11-2021
U0000025,Hyderabad,25-12-2022
U0000026,Surat,05-10-2022
U0000027,Delhi,06-12-2022
U0000028,Chennai,28-10-2021
U0000029,Kolkata,13-10-2022
U0000030,Mumbai,19-11-2022
U0000031,Kolkata,12-06-2022
U0000032,Delhi,13-08-2022
U0000033,Mumbai,02-03-2022
U0000034,Patna,25-04-2022
U0000035,Coimbatore,11-03-2021
U0000036,Surat,15-12-2022
U0000037,Bengaluru,17-12-2022
U0000038,Mumbai,30-10-2021
U0000039,Pune,19-06-2021
U0000040,Hyderabad,30-09-2022
U0000041,Mumbai,14-09-2022
U0000042,Chennai,11-10-2022
U0000043,Mumbai,06-04-2022
U0000044,Bhopal,11-04-2022
U0000045,Delhi,18-11-2022
U0000046,Pune,06-10-2022
U0000047,Bengaluru,20-11-2022
U0000048,Chennai,24-12-2022
U0000049,Chennai,22-12-2022
U0000050,Delhi,04-12-2022
U0000051,Coimbatore,27-12-2022
U0000052,Jaipur,24-09-2022
U0000053,Visakhapatnam,21-12-2022
U0000054,Indore,28-01-2022
U0000055,Kolkata,22-05-2022
U0000056,Visakhapatnam,01-04-2022
U0000057,Mumbai,13-07-2022
U0000058,Delhi,19-06-2022
U0000059,Mumbai,11-12-2022
U0000060,Bengaluru,22-12-2022
U0000061,Bengaluru,01-01-2021
U0000062,Bengaluru,09-10-2022
U0000063,Lucknow,23-12-2022
U0000064,Bengaluru,01-12-2022
U0000065,Bengaluru,24-12-2021
U0000066,Chennai,21-11-2022
U0000067,Delhi,10-09-2022
U0000068,Surat,17-06-2022
U0000069,Mumbai,04-05-2021
U0000070,Vadodara,30-12-2022
U0000071,Jaipur,03-09-2022
U0000072,Delhi,01-01-2021
U0000073,Mumbai,09-12-2022
U0000074,Lucknow,09-12-2022
U0000075,Ahmedabad,16-12-2022
U0000076,Ahmedabad,27-08-2022
U0000077,Jaipur,16-10-2022
U0000078,Mumbai,20-05-2022
U0000079,Bengaluru,02-08-2022
U0000080,Mumbai,29-07-2022
